timestamp_sec,model_name,ns3_node_id,robot_x,robot_y,robot_z,distance_to_base,rssi_dbm,snr_db,packets_sent,packets_received,packets_lost,packet_loss_rate
30.9354,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9354,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9354,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9364,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9364,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9364,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9364,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9374,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9374,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9374,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9374,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9384,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9384,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9384,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9384,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9395,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9395,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9395,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9395,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9405,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9406,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9406,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9406,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9415,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9415,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9415,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9415,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9424,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9424,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9424,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9424,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9434,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9434,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9434,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9434,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9444,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9444,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9444,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9444,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9454,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9454,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9454,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9455,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9464,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9464,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9464,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9464,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9474,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9474,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9474,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9474,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9484,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9484,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9484,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9484,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
